"group2","PreRx","BDQ25","BDQ5","RIF10","RIF30","STR","EMB","PZA","variable","Treatment.days","test_type"
"BDQ25",0.004,,,,,,,,"Log10 CFU","28","Wilcoxon rank-sum test"
"BDQ5",0.006,0.001,,,,,,,"Log10 CFU","28","Wilcoxon rank-sum test"
"RIF10",0.004,0.0009,0.001,,,,,,"Log10 CFU","28","Wilcoxon rank-sum test"
"RIF30",0.004,0.0009,0.02,0.0009,,,,,"Log10 CFU","28","Wilcoxon rank-sum test"
"STR",0.004,0.0009,0.001,0.02,0.0009,,,,"Log10 CFU","28","Wilcoxon rank-sum test"
"EMB",0.6,0.0009,0.001,0.0009,0.0009,0.0009,,,"Log10 CFU","28","Wilcoxon rank-sum test"
"PZA",0.8,0.0009,0.001,0.0009,0.0009,0.0009,0.8,,"Log10 CFU","28","Wilcoxon rank-sum test"
"INH",0.006,0.001,0.002,0.5,0.001,0.001,0.001,0.001,"Log10 CFU","28","Wilcoxon rank-sum test"
"BDQ25",0.004,,,,,,,,"Log10 16S rRNA","28","Wilcoxon rank-sum test"
"BDQ5",0.006,0.02,,,,,,,"Log10 16S rRNA","28","Wilcoxon rank-sum test"
"RIF10",0.02,0.0009,0.001,,,,,,"Log10 16S rRNA","28","Wilcoxon rank-sum test"
"RIF30",0.004,0.0009,0.002,0.0009,,,,,"Log10 16S rRNA","28","Wilcoxon rank-sum test"
"STR",1,0.0009,0.001,0.002,0.0009,,,,"Log10 16S rRNA","28","Wilcoxon rank-sum test"
"EMB",0.004,0.0009,0.001,0.0009,0.005,0.0009,,,"Log10 16S rRNA","28","Wilcoxon rank-sum test"
"PZA",0.007,0.0009,0.001,0.04,0.002,0.0009,0.007,,"Log10 16S rRNA","28","Wilcoxon rank-sum test"
"INH",0.006,1,0.07,0.001,0.001,0.001,0.001,0.001,"Log10 16S rRNA","28","Wilcoxon rank-sum test"
