"Group","Adjusted.16S.Original","CFU","log10_CFU","log10_16S","Measurement","Value","Rank"
"BDOS",133929807.8022,285.002,2.45484790767839,8.12687724559549,"Change_log10_CFU",5.00158930367195,6
"BDOS",133929807.8022,285.002,2.45484790767839,8.12687724559549,"Change_log10_16S",1.22864652965109,6
"BPaL",348760480.73,103.183333333333,2.01360955362926,8.54252726762162,"Change_log10_CFU",5.44282765772108,4
"BPaL",348760480.73,103.183333333333,2.01360955362926,8.54252726762162,"Change_log10_16S",0.812996507624954,9
"BPaMZ",100656334.896,3.07511857718182,0.487861866915616,8.00284111279446,"Change_log10_CFU",6.96857534443473,1
"BPaMZ",100656334.896,3.07511857718182,0.487861866915616,8.00284111279446,"Change_log10_16S",1.35268266245211,5
"BPaOS",25081828.872225,149.2225,2.17383431166959,7.39935920042651,"Change_log10_CFU",5.28260289968075,5
"BPaOS",25081828.872225,149.2225,2.17383431166959,7.39935920042651,"Change_log10_16S",1.95616457482006,1
"BZM",65847718.11,35.5,1.55022835305509,7.81854072949664,"Change_log10_CFU",5.90620885829525,3
"BZM",65847718.11,35.5,1.55022835305509,7.81854072949664,"Change_log10_16S",1.53698304574993,3
"BZMRb",61067459.0574,33.4,1.52374646681156,7.78580984990732,"Change_log10_CFU",5.93269074453878,2
"BZMRb",61067459.0574,33.4,1.52374646681156,7.78580984990732,"Change_log10_16S",1.56971392533925,2
"HRZE",188117381.84625,94397.1875,4.97495905498211,8.27442892575319,"Change_log10_CFU",2.48147815636823,9
"HRZE",188117381.84625,94397.1875,4.97495905498211,8.27442892575319,"Change_log10_16S",1.08109484949338,7
"PaMZ",312000780.045,509.666666666667,2.70728623069266,8.49415567981593,"Change_log10_CFU",4.74915098065769,7
"PaMZ",312000780.045,509.666666666667,2.70728623069266,8.49415567981593,"Change_log10_16S",0.861368095430642,8
"PZM",82844819.46825,4819.75,3.68302451200726,7.91826535588515,"Change_log10_CFU",3.77341269934309,8
"PZM",82844819.46825,4819.75,3.68302451200726,7.91826535588515,"Change_log10_16S",1.43725841936142,4
