"Group","CFU","logCFU","Adjusted.16S.Original","logAdjusted.16S.Original","CFU_Decline_from_PreRx","CFU_log10_Decline_from_PreRx","r16S_Decline_from_PreRx","r16S_log10_Decline_from_PreRx","CFU_fold_decline","r16S_fold_decline"
"PreRx",28604687.75,7.39718536480725,2267377200.243,9.1195740603265,0,0,0,0,1,1
"HRZE",94397.1875,4.91433643340596,188117381.84625,8.22412977034972,28510290.5625,2.48,2079259818.39675,0.9,303.02,12.05
"PaMZ",509.666666666667,2.28379073179628,312000780.045,8.46369990193492,28604178.0833333,5.11,1955376420.198,0.66,56124.31,7.27
"BPaL",103.183333333333,1.95015304050654,348760480.73,8.53682628887748,28604584.5666667,5.45,1918616719.513,0.58,277221.98,6.5
"BPaMZ",3.07511857718182,0.384076770161371,100656334.896,7.82816289856522,28604684.6748814,7.01,2166720865.347,1.29,9301978.78,22.53
"PZM",4819.75,3.64364998739359,82844819.46825,7.84470053356633,28599868,3.75,2184532380.77475,1.27,5934.89,27.37
"BZM",35.5,1.38070481289425,65847718.11,7.58686016587535,28604652.25,6.02,2201529482.133,1.53,805765.85,34.43
"BZMRb",33.4,1.39478990420076,61067459.0574,7.66284747614066,28604654.35,6,2206309741.1856,1.46,856427.78,37.13
"BDOS",285.002,2.1105566107375,133929807.8022,7.92944669877549,28604402.748,5.29,2133447392.4408,1.19,100366.62,16.93
"BPaOS",149.2225,1.77582316721151,25081828.872225,7.16956625932974,28604538.5275,5.62,2242295371.37078,1.95,191691.52,90.4
