"Group","Washout.period","median_log10_CFU","median_log10_Adjusted_16S_Original"
"HRZE 2 WK DOSE",1,5.85922975926403,8.44732226361822
"HRZE 2 WK DOSE",5,6.08783346806401,8.1503443183025
"HRZE 2 WK DOSE",7,5.89060762765091,8.11348800676709
"HRZE 2 WK DOSE",11,5.76750357991301,8.37744058142904
"HRZE 2 WK DOSE",14,5.84313741757833,8.21615683444537
"HRZE 2 WK DOSE",21,5.7988186740573,7.87411423067442
"HRZE 2 WK DOSE",28,6.12248627423175,8.02407808650939
"HRZE 4 WK DOSE",1,5.39452029640688,8.34456587910165
"HRZE 4 WK DOSE",4,5.20614494160584,8.37564629640485
"HRZE 4 WK DOSE",7,5.10200697039229,8.23363432541832
"HRZE 4 WK DOSE",11,4.76949882127941,8.0426863155327
"HRZE 4 WK DOSE",14,4.59074314547119,8.03090352253063
"HRZE 4 WK DOSE",21,5.22724378150306,7.83819856163423
"HRZE 4 WK DOSE",28,5.37775877933505,7.67481338004744
"HRZE 8 WK DOSE",1,2.43534822899463,7.72006459925657
"HRZE 8 WK DOSE",4,2.52118929906994,7.56284295400166
"HRZE 8 WK DOSE",7,2.29761028339883,7.63289312244134
"HRZE 8 WK DOSE",11,2.64491288286561,7.44777994307046
"HRZE 8 WK DOSE",14,2.60294036494377,6.82418489520069
"HRZE 8 WK DOSE",21,3.02339385852247,6.74596162483964
"HRZE 8 WK DOSE",28,4.55115252244738,6.64722170839765
"HRZE.HR 12 WK DOSE",1,0.724546265559709,7.19250710656469
"HRZE.HR 12 WK DOSE",4,0.574031267727719,7.32312963279132
"HRZE.HR 12 WK DOSE",7,0.8750612633917,6.87618495911783
"HRZE.HR 12 WK DOSE",11,0.724546265559709,7.32088200839242
"HRZE.HR 12 WK DOSE",13,0.8750612633917,7.18759834915696
"HRZE.HR 12 WK DOSE",21,3.30399124560118,7.15670503866916
"HRZE.HR 12 WK DOSE",28,3.69555029207087,6.87889143461094
"UNTX",0,7.41130397023002,9.42755398075745
