"Group","Measure","Estimate","StdError","tValue","pValue","Significance","Direction"
"HRZE 2 WK DOSE","CFU",-2573.125,9534.87207422076,-0.2698646589037,0.789394785071192,"Not Significant","Decreasing"
"HRZE 4 WK DOSE","CFU",2049.84617875647,3005.48037400941,0.682036121906831,0.501247406402032,"Not Significant","Increasing"
"HRZE 8 WK DOSE","CFU",894.220531088083,190.713134728512,4.68882508989769,7.64222615437192e-05,"Significant","Increasing"
"HRZE.HR 12 WK DOSE","CFU",213.788920158771,40.8219840568949,5.23710263226812,1.79932370286325e-05,"Significant","Increasing"
"UNTX","CFU",NA,NA,NA,NA,NA,NA
"HRZE 2 WK DOSE","Adjusted.16S.Original",-5211443.771756,1675715.13341483,-3.1099819222471,0.0044989921986293,"Significant","Decreasing"
"HRZE 4 WK DOSE","Adjusted.16S.Original",-8186752.68320595,1581022.41328324,-5.17813828217961,2.10133866488807e-05,"Significant","Decreasing"
"HRZE 8 WK DOSE","Adjusted.16S.Original",-2000110.85292785,437343.48931146,-4.57331800246246,0.000103673091664037,"Significant","Decreasing"
"HRZE.HR 12 WK DOSE","Adjusted.16S.Original",-260889.98852401,201100.470689247,-1.29731167525289,0.205917755333574,"Not Significant","Decreasing"
"UNTX","Adjusted.16S.Original",NA,NA,NA,NA,NA,NA
