"Group","Study.name","Treatment.days","mean_CFU","mean_16S_rRNA","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","T95_SE","mean_CFU_PreRX","mean_16S_rRNA_PreRX"
"BDOS","TBDA-BC-Rel-01",28,2.1105566107375,7.92944670018527,10.1523653559286,9.92691888987182,10.3778118219855,12.1425568338868,11.91711036783,12.3680032999437,0.115023707171849,7.57081665519807,8.71904191039529
"BPaL","Gates-BC-Rel-01",28,1.95015304050654,8.53682628878087,8.20284296520101,7.99775375431677,8.40793217608524,9.81086509522009,9.60577588433585,10.0159543061043,0.104637352491957,7.23832487582122,9.18494351384701
"BPaMZ","Gates-BC-Rel-01",28,0.492394477299889,8.2041853046842,4.55935321593607,4.11375725820556,5.00494917366657,5.45313368947451,5.00753773174401,5.89872964720501,0.227344876393114,7.23832487582122,9.18494351384701
"BPaMZ","TBDA-BC-Rel-01",28,0.254026025148909,7.37693600879472,4.21661840076284,4.08158053908245,4.35165626244324,5.04321178198895,4.90817392030855,5.17824964366935,0.0688968682042841,7.57081665519807,8.71904191039529
"BPaOS","TBDA-BC-Rel-01",28,1.77582316721151,7.16956623682354,8.60912939269634,8.3708238205095,8.84743496488318,10.2967967834269,10.0584912112401,10.5351023556138,0.121584475605532,7.57081665519807,8.71904191039529
"BZM","Crush-TB-Substudy",28,1.38070481289425,7.58686016154957,6.15087391066802,5.98671411672936,6.31503370460668,7.35664383815179,7.19248404421313,7.52080363209045,0.0837549969074807,7.27528162888703,9.76208858607466
"BZMRb","Crush-TB-Substudy",28,1.39478990420076,7.66284747885731,5.07600002839629,4.69301347748041,5.45898657931218,6.07105996216142,5.68807341124554,6.45404651307731,0.195401301487697,7.27528162888703,9.76208858607466
"HRZE","Crush-TB-Substudy",28,4.82650803618969,8.23900066653238,16.1398749705818,15.7587600825134,16.5209898586501,19.3038116981941,18.9226968101258,19.6849265862625,0.194446371463458,7.27528162888703,9.76208858607466
"HRZE","Gates-BC-Rel-01",28,5.07149529655056,8.29481872441485,17.3858067195428,16.8636788428104,17.9079345962751,20.7939863070175,20.2718584302852,21.3161141837499,0.266391773843022,7.23832487582122,9.18494351384701
"PZM","Crush-TB-Substudy",28,3.64364998739359,7.84470053584276,7.7603210836701,5.76476303419288,9.75587913314732,9.28159463377144,7.28603658429422,11.2771526832487,1.01814186197818,7.27528162888703,9.76208858607466
"PaMZ","Gates-BC-Rel-01",28,2.28379073179628,8.46369990206859,10.9923712345919,10.4021858530377,11.5825566161461,13.1472309925558,12.5570456110016,13.73741637411,0.301114990588893,7.23832487582122,9.18494351384701
